Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D02,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,7.6,ddPCR Supermix for Probes,152,,,9.8,5.7,54,8329,3,51,363,7966,0.0949,8383,,,,,,,,0.145,,,0.186,0.103,12.6,,,15.8,9.5,1,1,7000,9059.9,4073.9,4106.1,,,,,8.7,6.6,,,,,,,0.166,0.124,,,14.3,11
D03,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,7.1,ddPCR Supermix for Probes,142,,,8.7,5.6,80,13262,5,75,617,12645,0.118,13342,,,,,,,,0.126,,,0.155,0.097,11.2,,,13.5,8.9,1,1,7000,8824.9,4007.3,4036.2,,,,,7.9,6.3,,,,,,,0.141,0.111,,,12.4,10
E01,Absolute Quantification,ABS,M22_T2_1.2,Ch1Unknown,CARP,Manual,2.3,ddPCR Supermix for Probes,46,,,3.7,1.3,14,7241,1,13,92,7149,0.135,7255,,,,,,,,0.15,,,0.24,0.06,13,,,19,7,1,1,7000,8573.6,3874,3883.1,,,,,2.9,1.7,,,,,,,0.193,0.107,,,16.3,9.8
E02,Absolute Quantification,ABS,M22_T2_1.2,Ch1Unknown,CARP,Manual,2.6,ddPCR Supermix for Probes,52,,,3.7,1.7,26,11910,1,25,142,11768,0.0688,11936,,,,,,,,0.18,,,0.26,0.1,15,,,21,10,1,1,7000,8974.1,4102.1,4112.7,,,,,3.1,2.1,,,,,,,0.219,0.142,,,18.1,12.6
E03,Absolute Quantification,ABS,M22_T2_1.2,Ch1Unknown,CARP,Manual,2.6,ddPCR Supermix for Probes,52,,,3.7,1.8,29,12903,3,26,158,12745,0.244,12932,,,,,,,,0.18,,,0.25,0.11,15,,,20,10,1,1,7000,8847.2,4019.2,4030,,,,,3.16,2.18,,,,,,,0.215,0.143,,,17.8,12.6
F01,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0.17,ddPCR Supermix for Probes,3.4,,,0.54,0.03,2,14047,0,2,4,14043,0,14049,,,,,,,,0.5,,,1.4,0,33,,,74,0,1,1,7000,9225.8,4025.4,4026.2,,,,,0.32,0.07,,,,,,,0.95,0.05,,,53,13
F02,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.34,0,0,10291,0,0,4,10287,0,10291,,,,,,,,,,,,,,,,,,1,1,7000,0,4084.7,4084.7,,,,,0.16,0,,,,,,,,,,,,
F03,Absolute Quantification,ABS,M20_T3_0.4,Ch1Unknown,CARP,Manual,0.09,ddPCR Supermix for Probes,1.8,,,0.45,0,1,12588,0,1,3,12585,0,12589,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,7000,8828.3,4120.5,4120.9,,,,,0.23,0.03,,,,,,,0.75,0,,,49,1
G01,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0.15,ddPCR Supermix for Probes,3,,,0.48,0.02,2,15799,0,2,27,15772,0,15801,,,,,,,,0.07,,,0.19,0,7,,,17,0,1,1,7000,9421.2,4162.5,4163.1,,,,,0.29,0.06,,,,,,,0.13,0.02,,,11.8,2
G02,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0.11,ddPCR Supermix for Probes,2.2,,,0.52,0,1,10822,0,1,12,10810,0,10823,,,,,,,,0.08,,,0.29,0,8,,,25,0,1,1,7000,9055.9,4164,4164.4,,,,,0.27,0.03,,,,,,,0.18,0,,,16,0
G03,Absolute Quantification,ABS,M9_T4_1.2,Ch1Unknown,CARP,Manual,0.2,ddPCR Supermix for Probes,4,,,0.64,0.03,2,11823,0,2,18,11805,0,11825,,,,,,,,0.11,,,0.29,0,10,,,24,0,1,1,7000,9041.3,4133.3,4134.1,,,,,0.38,0.09,,,,,,,0.2,0.02,,,17,3
H01,Absolute Quantification,ABS,M11_T4_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.31,0,0,11436,0,0,0,11436,0,11436,,,,,,,,,,,,,,,,,,1,1,7000,0,4095.1,4095.1,,,,,0.14,0,,,,,,,,,,,,
H02,Absolute Quantification,ABS,M11_T4_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.32,0,0,11118,0,0,0,11118,0,11118,,,,,,,,,,,,,,,,,,1,1,7000,0,4033.5,4033.5,,,,,0.14,0,,,,,,,,,,,,
H03,Absolute Quantification,ABS,M11_T4_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.21,0,0,16401,0,0,0,16401,0,16401,,,,,,,,,,,,,,,,,,1,1,7000,0,4153.9,4153.9,,,,,0.098,0,,,,,,,,,,,,
A04,Absolute Quantification,ABS,M15_T4_1.2,Ch1Unknown,CARP,Manual,1.1,ddPCR Supermix for Probes,22,,,1.8,0.6,13,14121,0,13,119,14002,0,14134,,,,,,,,0.11,,,0.17,0.05,10,,,15,5,1,1,7000,7250.6,4706.2,4708.6,,,,,1.41,0.81,,,,,,,0.141,0.077,,,12.4,7.2
B04,Absolute Quantification,ABS,M15_T4_1.2,Ch1Unknown,CARP,Manual,1.3,ddPCR Supermix for Probes,26,,,2.1,0.8,15,13145,0,15,57,13088,0,13160,,,,,,,,0.26,,,0.41,0.11,21,,,30,11,1,1,7000,7345.5,4789.2,4792.2,,,,,1.72,1.02,,,,,,,0.34,0.19,,,25.6,16
C04,Absolute Quantification,ABS,M15_T4_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.3,0.3,8,13064,0,8,38,13026,0,13072,,,,,,,,0.21,,,0.37,0.05,17,,,29,6,1,1,7000,7343,4751.7,4753.3,,,,,1.01,0.49,,,,,,,0.29,0.13,,,23,12
