"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run"
"1916","D04","EB_6/22/22","CARP",0,0,0,15344,15344,7000,15
"1917","D05","EB_6/22/22","CARP",0,0,0,13223,13223,7000,15
"1918","D06","EB_6/22/22","CARP",0,0,0,12876,12876,7000,15
"1919","E04","EB_6/23/22","CARP",0,0,0,15113,15113,7000,15
"1920","E05","EB_6/23/22","CARP",0,0,0,13858,13858,7000,15
"1921","E06","EB_6/23/22","CARP",0,0,0,14539,14539,7000,15
"1922","F04","EB_6/27/22","CARP",0,0,0,13091,13091,7000,15
"1923","F05","EB_6/27/22","CARP",0,0,0,13923,13923,7000,15
"1924","F06","EB_6/27/22","CARP",0,0,0,13583,13583,7000,15
"1925","G04","EB_7/5/22","CARP",0,0,0,13948,13948,7000,15
"1926","G05","EB_7/5/22","CARP",0,0,0,14656,14656,7000,15
"1927","G06","EB_7/5/22","CARP",0,0,0,14569,14569,7000,15
"1928","H04","EB_7/5/22","CARP",0,0,0,14085,14085,7000,15
"1929","H05","EB_7/5/22","CARP",0,0,0,13134,13134,7000,15
"1930","H06","EB_7/5/22","CARP",0,0,0,15016,15016,7000,15
"1931","A07","EB_7/8/22","CARP",0,0,0,14565,14565,7000,15
"1932","B07","EB_7/8/22","CARP",0,0,0,13531,13531,7000,15
"1933","C07","EB_7/8/22","CARP",0,0,0,15228,15228,7000,15
"1934","A08","EB_7/18/22","CARP",0,0,0,7353,7353,7000,15
"1935","B08","EB_7/18/22","CARP",0,0,0,9629,9629,7000,15
"1936","C08","EB_7/18/22","CARP",0,0,0,8794,8794,7000,15
"1937","D07","Positive_CTL","CARP",86,1720,963,12659,13622,7000,15
"1938","D08","Positive_CTL","CARP",100,2000,694,7855,8549,7000,15
"1939","E07","Negative_CTL","CARP",0,0,0,14291,14291,7000,15
"1940","E08","Negative_CTL","CARP",0,0,0,9456,9456,7000,15
"1941","F07","Negative_CTL","CARP",0,0,0,14243,14243,7000,15
"1942","F08","Negative_CTL","CARP",0,0,0,10369,10369,7000,15
"1943","G07","Negative_CTL","CARP",0,0,0,14924,14924,7000,15
"1944","G08","Negative_CTL","CARP",0,0,0,10840,10840,7000,15
"1945","H07","Negative_CTL","CARP",0,0,0,14391,14391,7000,15
"1946","H08","Negative_CTL","CARP",0,0,0,11295,11295,7000,15
"1971","A04","EB_6/13/22","STHD",0,0,0,10983,10983,4500,15
"1972","A05","EB_6/13/22","STHD",0,0,0,12153,12153,4500,15
"1973","A06","EB_6/13/22","STHD",0,0,0,11536,11536,4500,15
