Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D12,Absolute Quantification,ABS,M24_T2_0.4,Ch2Unknown,STHD,Manual,42.5,ddPCR Supermix for Probes,850,,,46,39,559,15198,2,78,557,15120,0,15757,,,,,,,,0.141,,,0.174,0.108,12.4,,,14.9,9.8,1,1,4500,6009.3,1181.5,1352.7,,,,,44.3,40.7,,,,,,,0.158,0.124,,,13.6,11.1
E10,Absolute Quantification,ABS,M19_T3_1.2,Ch2Unknown,STHD,Manual,12.5,ddPCR Supermix for Probes,250,,,14.7,10.4,136,12688,0,13,136,12675,0,12824,,,,,,,,0.1,,,0.15,0.04,8.7,,,13.3,4.1,1,1,4500,5741.9,1121.9,1170.9,,,,,13.6,11.5,,,,,,,0.123,0.067,,,11,6.4
E11,Absolute Quantification,ABS,M19_T3_0.4,Ch2Unknown,STHD,Manual,2.3,ddPCR Supermix for Probes,46,,,3.4,1.5,23,11626,0,6,23,11620,0,11649,,,,,,,,0.26,,,0.5,0.02,21,,,36,6,1,1,4500,5886.4,1154.8,1164.1,,,,,2.84,1.87,,,,,,,0.38,0.14,,,28,13
E12,Absolute Quantification,ABS,M19_T3_1.2,Ch2Unknown,STHD,Manual,12.2,ddPCR Supermix for Probes,244,,,14.1,10.4,163,15580,0,21,163,15559,0,15743,,,,,,,,0.13,,,0.19,0.07,11.4,,,16,6.7,1,1,4500,6027.2,1168.7,1219,,,,,13.2,11.3,,,,,,,0.158,0.099,,,13.7,9
F10,Absolute Quantification,ABS,M19_T3_0.4,Ch2Unknown,STHD,Manual,3.8,ddPCR Supermix for Probes,76,,,5.1,2.8,46,14038,0,7,46,14031,0,14084,,,,,,,,0.15,,,0.28,0.03,13,,,23,4,1,1,4500,5815.4,1131,1146.3,,,,,4.4,3.3,,,,,,,0.21,0.09,,,17.9,8.5
F11,Absolute Quantification,ABS,M19_T3_1.2,Ch2Unknown,STHD,Manual,14.8,ddPCR Supermix for Probes,296,,,17,12.6,168,13265,1,11,167,13254,0.0754,13433,,,,,,,,0.071,,,0.113,0.029,6.6,,,10.3,2.9,1,1,4500,5821.5,1133.5,1192.1,,,,,15.9,13.7,,,,,,,0.092,0.05,,,8.5,4.8
F12,Absolute Quantification,ABS,M19_T3_0.4,Ch2Unknown,STHD,Manual,3.7,ddPCR Supermix for Probes,74,,,4.8,2.7,49,15613,0,16,49,15597,0,15662,,,,,,,,0.33,,,0.51,0.14,25,,,35,14,1,1,4500,5948.2,1156.3,1171.3,,,,,4.2,3.2,,,,,,,0.42,0.23,,,30,19
G10,Absolute Quantification,ABS,Positive_CTL,Ch2Unknown,STHD,Manual,57.3,ddPCR Supermix for Probes,1146,,,61.7,53,669,13402,12,379,657,13023,0,14071,,,,,,,,0.58,,,0.65,0.51,36.6,,,39.5,33.8,1,1,4500,5967.3,1210.5,1436.7,,,,,59.5,55.1,,,,,,,0.615,0.542,,,38.1,35.2
G11,Absolute Quantification,ABS,Positive_CTL,Ch2Unknown,STHD,Manual,71.9,ddPCR Supermix for Probes,1438,,,76.4,67.4,979,15534,34,523,945,15011,0.0766,16513,,,,,,,,0.56,,,0.62,0.5,36,,,38.4,33.6,1,1,4500,6001.9,1224.7,1507.9,,,,,74.2,69.6,,,,,,,0.591,0.532,,,37.2,34.7
G12,Absolute Quantification,ABS,Negative_CTL,Ch2Unknown,STHD,Manual,0,ddPCR Supermix for Probes,0,,,0.24,0,0,14866,0,0,0,14866,0,14866,,,,,,,,,,,,,,,,,,1,1,4500,0,1129,1129,,,,,0.11,0,,,,,,,,,,,,
